NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Johnny Francén,65,M,Liberalerna (tidigare Folkpartiet),L
Jan Green,62,M,Liberalerna (tidigare Folkpartiet),L
Anna Drake af Hagelsrum,55,K,Liberalerna (tidigare Folkpartiet),L
Margareta Fallsvik,73,K,Liberalerna (tidigare Folkpartiet),L
Johan Thorén,47,M,Liberalerna (tidigare Folkpartiet),L
Tommy Jacobson,64,M,Liberalerna (tidigare Folkpartiet),L
Sara Ankarberg,45,K,Liberalerna (tidigare Folkpartiet),L
Gunnar Asserhed,79,M,Liberalerna (tidigare Folkpartiet),L
Gunilla Wetterling,80,K,Miljöpartiet de gröna,MP
Anders Wång,70,M,Miljöpartiet de gröna,MP
Ann-Katrin Johansson,67,K,Miljöpartiet de gröna,MP
Khaliif Mahamuud,45,M,Miljöpartiet de gröna,MP
Paula Savina,25,K,Miljöpartiet de gröna,MP
Andreas Sjöberg,35,M,Miljöpartiet de gröna,MP
Linda Sundregård,35,K,Miljöpartiet de gröna,MP
Mats Johannesson,52,M,Miljöpartiet de gröna,MP
Jan Gustavsson,78,M,Miljöpartiet de gröna,MP
Cecilia Gyllenberg Bergfasth,49,K,Miljöpartiet de gröna,MP
Bror-Tommy Sturk,64,M,Miljöpartiet de gröna,MP
Jenny Ivner,46,K,Miljöpartiet de gröna,MP
Peter Fritzson,69,M,Miljöpartiet de gröna,MP
Linda Ivarsson,33,K,Miljöpartiet de gröna,MP
Kristina Post,58,K,Miljöpartiet de gröna,MP
Pether Nordin,65,M,Miljöpartiet de gröna,MP
Linda Hagman,31,K,Miljöpartiet de gröna,MP
Robert Damberg,40,M,Miljöpartiet de gröna,MP
Jens Lindell,62,M,Miljöpartiet de gröna,MP
Cvijeta Stojnic Karlsson,71,K,Miljöpartiet de gröna,MP
Take Aanstoot,47,M,Miljöpartiet de gröna,MP
Fredrik Lundén,58,M,Moderaterna,M
Teodor Johansson,22,M,Moderaterna,M
Erik Östman,39,M,Moderaterna,M
Ralf Holmér,78,M,Moderaterna,M
Linnea Jägestedt,32,K,Moderaterna,M
Päivi Johansson,71,K,Moderaterna,M
Viola Ingvarsson,73,K,Moderaterna,M
Fame Demir,55,K,Moderaterna,M
Annette Olsson,61,K,Moderaterna,M
Oscar Strömblad,50,M,Moderaterna,M
John E. Weinerhall,27,M,Moderaterna,M
Anwar Samuelsson,51,M,Moderaterna,M
Albin Gunnarson,45,M,Moderaterna,M
Ronnie Dahlquist,66,M,Moderaterna,M
Jan Owe-Larsson,71,M,Moderaterna,M
Tommy Aarna,60,M,Moderaterna,M
Inga-Lill Björklund,51,K,Moderaterna,M
Helena Persdotter,51,K,Moderaterna,M
Jan Sundström,55,M,Moderaterna,M
Hugo Leo,19,M,Moderaterna,M
John Widegren,42,M,Moderaterna,M
Susanne Nordström,59,K,Moderaterna,M
Joanna Sjölander,50,K,Moderaterna,M
Viktoria Sköld,24,K,Moderaterna,M
Milad Haddad,48,M,Moderaterna,M
Anna Nilsson,52,K,Moderaterna,M
Jörgen Rundgren,61,M,Moderaterna,M
Göran Hargestam,56,M,Sverigedemokraterna,SD
Chris Dahlqvist,27,M,Sverigedemokraterna,SD
Annelie Sjöberg,55,K,Sverigedemokraterna,SD
Christina Nilsson,66,K,Sverigedemokraterna,SD
Richard Svensson,31,M,Sverigedemokraterna,SD
Benny Sellborn,65,M,Sverigedemokraterna,SD
Irina Sedova,54,K,Sverigedemokraterna,SD
