NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Jonatan Rundqvist,31,M,Miljöpartiet de gröna,MP
Veronica Wihman,29,K,Miljöpartiet de gröna,MP
Edgar Weibull,64,M,Miljöpartiet de gröna,MP
Gunlög Fur,65,K,Miljöpartiet de gröna,MP
Michael Johansson,18,M,Miljöpartiet de gröna,MP
Jona Wåhlin,19,M,Miljöpartiet de gröna,MP
Anita Thörn von Rosen,73,K,Miljöpartiet de gröna,MP
Cheryl Jones Fur,62,K,Miljöpartiet de gröna,MP
Erik Jansson,73,M,Miljöpartiet de gröna,MP
Katinka Schartau,66,K,Miljöpartiet de gröna,MP
Erik Lagerlöf,21,M,Miljöpartiet de gröna,MP
Robert William,48,M,Miljöpartiet de gröna,MP
Guje Larsson,74,K,Miljöpartiet de gröna,MP
Fredrik Isberg,47,M,Miljöpartiet de gröna,MP
Kerstin Axén Krag,80,K,Miljöpartiet de gröna,MP
Peter Holmgren,40,M,Miljöpartiet de gröna,MP
Lennart Adell Kind,57,M,Miljöpartiet de gröna,MP
Hanna Evelyndotter,36,K,Miljöpartiet de gröna,MP
Magnus Folcker,46,M,Miljöpartiet de gröna,MP
Eva Fernandez Bjarnestam,76,K,Miljöpartiet de gröna,MP
Isak Folcker,22,M,Miljöpartiet de gröna,MP
Pernilla Bodin,39,K,Miljöpartiet de gröna,MP
Michael Öberg,53,M,Miljöpartiet de gröna,MP
Marita Bengtsson,69,K,Miljöpartiet de gröna,MP
Christoffer Nordmark,33,M,Moderaterna,M
Roland Gustbée,63,M,Moderaterna,M
Tilda Ragnarsson,26,K,Moderaterna,M
Simon Borup Swalander,25,M,Moderaterna,M
Gunilla Åström,56,K,Moderaterna,M
Johnny Lindman,58,M,Moderaterna,M
Kajsa Sivertsson,43,K,Moderaterna,M
Tomas Jansson,73,M,Moderaterna,M
Ida Eriksson,28,K,Moderaterna,M
Mattias Bengtsson,30,M,Moderaterna,M
Thomas Ragnarsson,52,M,Moderaterna,M
Karin Olsson,69,K,Moderaterna,M
Marcus Dackling,48,M,Moderaterna,M
Elaine Sandell Belin,76,K,Moderaterna,M
Martha Elena Arciniega Sandberg,65,K,Moderaterna,M
Anton Altgård,35,M,Moderaterna,M
Magnus Gunnarsson,55,M,Moderaterna,M
Mikael Johansson,47,M,Moderaterna,M
Thomas Johnsson,64,M,Moderaterna,M
Sofia Stynsberg,56,K,Moderaterna,M
Sonja Emilsson,69,K,Moderaterna,M
